,probability
0,0.9999999996456533
1,0.0004999999999999449
2,0.008000059604644782
3,0.0
4,0.0020000000000000018
5,0.9999995009014242
6,0.9864999713050923
7,0.9999999787273879
8,0.0
9,0.0
10,0.0
11,0.9694999999999337
12,0.0
13,0.9999952698522065
14,0.0
15,0.022500119209289515
16,0.0
17,0.9999999866523961
18,0.9646749827750027
19,0.5048785283565521
20,0.1598911192417145
21,0.9999999968862976
22,0.9991620287764817
23,1.1920928955078125e-07
24,0.03408651614189151
25,0.9997481728787534
26,0.9657217462100088
27,0.0
28,0.99899990405734
29,0.9997379455016926
30,0.6607043430805206
31,0.0010000000000000009
32,0.0
33,0.8420866091996431
34,0.0
35,0.9999035289074527
36,0.9999985891306551
37,0.9799997418550208
38,8.64267349243164e-06
39,0.788340352951549
40,0.9999999736754042
41,0.9999999999977378
42,0.0
43,0.9994999999832034
44,0.0020007152557373065
45,0.01415976881980896
46,0.9894999999730595
47,0.028510550022125214
48,3.5762786865234375e-07
49,0.032500119209289524
50,0.07192361021041871
51,9.894371032714844e-06
52,3.343820571899414e-05
53,0.9423912187814713
54,0.9959999997124689
55,0.0010000000000000009
56,0.0
57,0.0
58,0.9999818212982063
59,0.9999999279733416
60,5.364418029785156e-07
61,0.0
62,0.13
63,0.0
64,0.0
65,0.9999999988319673
66,0.0005001788139342711
67,0.3290849366188049
68,0.9853904545009137
69,0.99955007553217
70,0.0
71,0.19090638327598564
72,0.0
73,0.9789999994654173
74,0.0025140070915221635
75,0.04153778934478758
76,0.0010000000000000009
77,0.0
78,7.033348083496094e-06
79,0.9999999996771033
80,0.9994563707388007
81,0.005500178813934387
82,0.6011889312267303
83,0.0
84,0.00013306736946105957
85,0.9999996305685102
86,0.0
87,0.0030005960464477566
88,0.987347627395764
89,0.0
90,0.1143909854888916
91,0.0
92,0.9999999989712104
93,5.960464477539062e-07
94,0.0
95,0.006505543231964062
96,0.9999519954108109
97,0.0
98,5.960464477539063e-08
99,0.9999999162229329
100,5.960464477539063e-08
101,0.24604112720489502
102,0.9998731878440594
103,2.1517276763916016e-05
104,0.0
105,0.01050017881393428
106,0.999999993505472
107,0.9234088561236858
108,0.13903965997695922
109,0.9999977101419972
110,0.6789184808731079
111,0.9969999091892988
112,0.9999997995939083
113,0.9999990382733586
114,0.9999991665906691
115,0.9808518506326945
116,0.9727404105011374
117,0.9999996281763117
118,0.9994999984582822
119,0.019610396862030033
120,0.8844734246730804
121,0.006405666828155576
122,0.0030000000000000027
123,0.9994999671314229
124,0.0020000000000000018
125,0.9999957365635055
126,1.722574234008789e-05
127,0.9894601256422466
128,0.05800000000000005
129,0.006000000000000005
130,0.9986482026288286
131,0.0
132,0.9999742952222732
133,0.9844300630763173
134,0.9994999966847224
135,0.9999504529805563
136,0.0004999999999999449
137,0.9999995352945064
138,0.9994999999508095
139,0.00550000000000006
140,0.0005001192092894957
141,0.0
142,0.9316922128200531
143,0.0
144,0.9993107315768721
145,0.9829758379162813
146,0.0005005364418029234
147,0.0010000000000000009
148,0.0
149,2.0503997802734375e-05
150,0.0
151,0.0040000000000000036
152,0.6244931337833405
153,0.9989973146123011
154,0.9999999999999671
155,0.9999601736744808
156,0.99949999999979
157,0.0
158,0.9923488625967876
159,0.9998945482220734
160,0.9595266696496401
161,1.7881393432617188e-07
162,0.1890270009040833
163,0.999999992438287
164,0.8783518723845481
165,0.0
166,1.0132789611816406e-06
167,0.0005005960464476988
168,1.5497207641601562e-06
169,0.999999140134662
170,0.9919747510919406
171,0.04499999999999993
172,0.0
173,0.9999978915491283
174,0.0
175,0.0
176,0.0
177,0.9987423807615414
178,0.9130876691751182
179,0.9999998933354775
180,0.9999996614455142
181,0.0797813663482666
182,0.0
183,0.0010000000000000009
184,0.8857670081211254
185,0.0
186,0.0
187,0.0
188,0.01750000000000007
189,4.708766937255859e-06
190,0.0010000000000000009
191,0.9999996014565227
192,0.9954046306984383
193,0.9949957362506393
194,0.011500000000000066
195,0.11305507469177245
196,0.7464883472919464
197,0.9999994356751927
198,0.0
199,0.9999999964806723
200,0.0010000000000000009
201,0.9994974735744673
202,0.023119656324386617
203,0.9689858563295566
204,0.0
205,0.9984999999956664
206,0.8502676027100533
207,0.9999999999306661
208,1.8298625946044922e-05
209,0.9974098053158378
210,0.0010000000000000009
211,0.9989859892786844
212,0.8398237016275525
213,0.062000000000000055
214,0.021055632114410416
215,0.9990240214392543
216,3.534555435180664e-05
