,probability
0,0.9944999735440799
1,0.011500000000000066
2,0.02653153085708615
3,0.010526106834411575
4,0.014016927719116223
5,0.9914963435900555
6,0.9699989168089769
7,0.9924980698828495
8,0.08750000000000002
9,0.0004999999999999449
10,0.0
11,0.9894999893877121
12,9.655952453613281e-06
13,0.9950385057991371
14,0.018000000000000016
15,0.0015000596046448322
16,0.0004999999999999449
17,0.9944686969749746
18,0.9913674977105111
19,0.9769190546274186
20,0.23833196806907653
21,0.9959999997882029
22,0.9924489470465051
23,0.005604516744613708
24,0.07204027509689337
25,0.9783950402368792
26,0.9047376814186573
27,0.0
28,0.9879339251080528
29,0.9909455989818671
30,0.9239885302540861
31,0.006000000000000005
32,0.004000915050506593
33,0.31768099069595335
34,0.0
35,0.962040219665505
36,0.9884981061422432
37,0.9729790293768456
38,0.004002086162567142
39,0.7860686062648893
40,0.9999999903171073
41,0.9999996276241347
42,0.008000000000000007
43,0.9504996552662367
44,0.055006616115570006
45,0.12300029802322388
46,0.9995138283411507
47,0.022669704914093036
48,0.026526822090148894
49,0.04281422924995426
50,0.07087363672256464
51,0.0022243857383728027
52,0.0015038146972656818
53,0.9924145588008105
54,0.9829895691471465
55,0.0020042319297790545
56,0.0
57,0.006000059604644781
58,0.9713787267686567
59,0.9922337046952453
60,0.001039696693420411
61,0.0
62,0.019426610708236702
63,0.0
64,0.02700017881393435
65,0.9994939436002024
66,0.04351591444015501
67,0.2817094209194183
68,0.9384320906354114
69,0.9899815503524587
70,0.0
71,0.032036584377288846
72,0.0024999999999999467
73,0.9495696022026241
74,0.003311219215393013
75,0.09452396106719974
76,0.019142663717269914
77,0.020000000000000018
78,0.0010225305557250985
79,0.9709999838203539
80,0.9138843583762646
81,0.0036405091285705016
82,0.25395525312423706
83,0.006000000000000005
84,0.00669487738609309
85,0.9999316789180739
86,5.960464477539063e-08
87,0.38239075112342835
88,0.9659598187496303
89,0.0015039339065552326
90,0.10900059604644774
91,0.0
92,0.9879858120518183
93,0.0020000000000000018
94,0.043500476837158186
95,0.005502086162567199
96,0.9974955399030114
97,0.0030063776969909695
98,0.05203319978713994
99,0.9969997069244273
100,0.046002801418304484
101,0.20450309944152834
102,0.9669085917588672
103,0.003452571630477852
104,0.0
105,0.026012814998626732
106,0.9859963826301155
107,0.9464362167716026
108,0.15429839134216317
109,0.9999979727708705
110,0.9716140238530934
111,0.9208568186759949
112,0.9904997697957639
113,0.9964347005286837
114,0.98899570685668
115,0.9596492724856361
116,0.9627396555133164
117,0.9934941882701933
118,0.9989981849884989
119,0.03818482637405396
120,0.9699912929251877
121,0.29680231475830077
122,0.004863366842269956
123,0.9654126070523634
124,0.07700029802322383
125,0.9678980887159705
126,0.010030398368835458
127,0.9768760050144046
128,0.0655
129,0.008004172325134284
130,0.9459055249989032
131,0.0020255703926086444
132,0.6421257257461548
133,0.9751341939419508
