,probability
0,0.994499998696145
1,0.011501072883606023
2,0.026614768743514983
3,0.010535405158996536
4,0.017043681383132947
5,0.9914921763228486
6,0.969916660337476
7,0.9924975222342528
8,0.08750000000000002
9,0.0004999999999999449
10,2.1457672119140625e-06
11,0.9894999999706026
12,4.649162292480469e-06
13,0.9946898045991548
14,0.018008285045623795
15,0.0015026822090149494
16,0.0004999999999999449
17,0.9944939653180264
18,0.9913027858091519
19,0.9516822021603584
20,0.238019371509552
21,0.9959999996064725
22,0.9922653860918945
23,0.01294953751564032
24,0.35789243912696844
25,0.976690272715874
26,0.8368086854815483
27,2.384185791015625e-07
28,0.987997112401843
29,0.990923953837424
30,0.9223671827940271
31,0.006000059604644781
32,0.003609819173812867
33,0.7854743321891874
34,1.1622905731201172e-05
35,0.9621700828196481
36,0.9884986603830849
37,0.9729582353375444
38,0.004002145767211918
39,0.7931591895921156
40,0.9999999990507348
41,0.9999935406058285
42,0.008000000000000007
43,0.9504999098416694
44,0.05500023841857904
45,0.12597889113426208
46,0.9999884536737227
47,0.022963496208190937
48,0.02845878744125363
49,0.042057578086853065
50,0.12888996672630304
51,0.0019288957118988037
52,0.001958836555481014
53,0.9924496098971577
54,0.9829999074065187
55,0.002007331371307375
56,0.0
57,0.006080704689025884
58,0.9714857414650251
59,0.992480000049618
60,0.0012857148647308358
61,0.0
62,0.14241736793518067
63,0.0
64,0.027020027160644555
65,0.9994966067225615
66,0.043598377466201765
67,0.2815038146972656
68,0.9358412149120122
69,0.9898086073319428
70,5.960464477539063e-08
71,0.03125641918182376
72,0.0025005364418029252
73,0.9531788411226589
74,0.4197350019216537
75,0.09450047683715823
76,0.041864401340484636
77,0.02000023841857912
78,0.0010643134117126474
79,0.9709999995347165
80,0.946585154755041
81,0.13669101047515864
82,0.3846888027191162
83,0.006000000000000005
84,0.012951219320297191
85,0.9999995700175646
86,1.1920928955078125e-07
87,0.5038780189044774
88,0.9657952174308011
89,0.001563955783844051
90,0.10948404932022093
91,5.960464477539063e-08
92,0.9879975311238813
93,0.0025322396755218524
94,0.04352044439315794
95,0.005506318092346252
96,0.997479838868967
97,0.004070231199264529
